Text39;Text38;Text48;Text40;Text41;Text42;Text44;Text46
1;00:17:03;"Долгота=38° 58' 58.83"" Широта=45° 14' 42.06""";00:17:58;"Долгота=38° 58' 58.83"" Широта=45° 14' 42.06""";0,14;00:00:55;0,00
2;00:21:20;"Долгота=38° 58' 58.83"" Широта=45° 14' 42.06""";00:21:24;"Долгота=38° 58' 58.38"" Широта=45° 14' 44.26""";0,07;00:00:04;0,00
3;00:22:47;"Долгота=38° 58' 58.38"" Широта=45° 14' 44.26""";00:22:50;"Долгота=38° 58' 58.16"" Широта=45° 14' 45.02""";0,02;00:00:03;0,00
4;00:27:54;"Долгота=38° 58' 58.16"" Широта=45° 14' 45.02""";00:28:08;"Долгота=38° 58' 57.42"" Широта=45° 14' 48.20""";0,10;00:00:14;0,00
5;00:33:13;"Долгота=38° 58' 57.42"" Широта=45° 14' 48.20""";00:34:00;"Долгота=38° 58' 56.06"" Широта=45° 14' 53.24""";0,16;00:00:47;0,00
6;00:36:04;"Долгота=38° 58' 56.06"" Широта=45° 14' 53.24""";00:36:11;"Долгота=38° 58' 55.59"" Широта=45° 14' 55.14""";0,06;00:00:07;0,00
7;00:38:52;"Долгота=38° 58' 55.59"" Широта=45° 14' 55.14""";00:42:24;"Долгота=39° 00' 11.78"" Широта=45° 15' 07.51""";1,81;00:03:32;30,67
8;00:43:50;"Долгота=39° 00' 11.78"" Широта=45° 15' 07.51""";00:44:03;"Долгота=39° 00' 12.81"" Широта=45° 15' 04.66""";0,09;00:00:13;0,00
9;00:45:58;"Долгота=39° 00' 12.81"" Широта=45° 15' 04.66""";00:46:50;"Долгота=39° 00' 13.83"" Широта=45° 15' 01.21""";0,11;00:00:52;0,00
10;00:48:34;"Долгота=39° 00' 13.83"" Широта=45° 15' 01.21""";00:49:52;"Долгота=39° 00' 15.92"" Широта=45° 14' 54.95""";0,20;00:01:18;9,18
11;00:51:45;"Долгота=39° 00' 15.92"" Широта=45° 14' 54.95""";00:53:11;"Долгота=39° 00' 17.85"" Широта=45° 14' 49.18""";0,18;00:01:26;7,66
12;00:56:13;"Долгота=39° 00' 17.85"" Широта=45° 14' 49.18""";00:58:15;"Долгота=39° 00' 21.57"" Широта=45° 14' 39.88""";0,30;00:02:02;8,79
13;00:59:16;"Долгота=39° 00' 21.57"" Широта=45° 14' 39.88""";00:59:28;"Долгота=39° 00' 22.11"" Широта=45° 14' 37.62""";0,07;00:00:12;0,00
14;01:01:16;"Долгота=39° 00' 22.11"" Широта=45° 14' 37.62""";01:08:48;"Долгота=38° 57' 09.71"" Широта=45° 13' 58.98""";4,40;00:07:32;35,06
15;01:13:52;"Долгота=38° 57' 09.71"" Широта=45° 13' 58.98""";01:15:52;"Долгота=38° 57' 15.70"" Широта=45° 13' 57.75""";0,14;00:02:00;4,08
16;01:22:41;"Долгота=38° 57' 15.70"" Широта=45° 13' 57.75""";01:50:14;"Долгота=39° 11' 06.97"" Широта=45° 13' 58.12""";19,51;00:27:33;42,48
17;01:55:37;"Долгота=39° 11' 06.97"" Широта=45° 13' 58.12""";02:00:54;"Долгота=39° 11' 31.34"" Широта=45° 15' 02.46""";2,87;00:05:17;32,62
18;02:02:21;"Долгота=39° 11' 31.34"" Широта=45° 15' 02.46""";02:04:34;"Долгота=39° 11' 03.86"" Широта=45° 14' 59.88""";0,60;00:02:13;16,35
19;02:15:29;"Долгота=39° 11' 03.86"" Широта=45° 14' 59.88""";02:16:57;"Долгота=39° 10' 53.48"" Широта=45° 14' 56.90""";0,25;00:01:28;10,19
20;02:22:04;"Долгота=39° 10' 53.48"" Широта=45° 14' 56.90""";02:44:52;"Долгота=39° 00' 44.27"" Широта=45° 14' 16.77""";17,79;00:22:48;46,81
21;02:53:41;"Долгота=39° 00' 44.27"" Широта=45° 14' 16.77""";03:00:30;"Долгота=39° 00' 30.50"" Широта=45° 15' 13.46""";2,72;00:06:49;23,91
22;03:17:59;"Долгота=39° 00' 30.50"" Широта=45° 15' 13.46""";03:19:23;"Долгота=39° 00' 25.80"" Широта=45° 15' 05.95""";0,26;00:01:24;11,27
23;03:23:43;"Долгота=39° 00' 25.80"" Широта=45° 15' 05.95""";03:38:16;"Долгота=38° 59' 00.00"" Широта=45° 14' 37.51""";6,26;00:14:33;25,82
24;03:56:16;"Долгота=38° 59' 00.00"" Широта=45° 14' 37.51""";04:00:16;"Долгота=38° 59' 00.18"" Широта=45° 14' 37.18""";0,00;00:04:00;0,00
25;04:23:51;"Долгота=38° 59' 00.18"" Широта=45° 14' 37.18""";04:27:43;Хоз двор. Место где находится гараж.;1,51;00:03:52;23,35
26;04:39:17;Хоз двор. Место где находится гараж.;04:47:01;"Долгота=39° 00' 23.21"" Широта=45° 14' 33.51""";2,82;00:07:44;21,87
27;04:52:23;"Долгота=39° 00' 23.21"" Широта=45° 14' 33.51""";04:52:35;"Долгота=39° 00' 23.70"" Широта=45° 14' 29.29""";0,13;00:00:12;0,00
28;04:55:01;"Долгота=39° 00' 23.70"" Широта=45° 14' 29.29""";04:55:20;"Долгота=39° 00' 24.72"" Широта=45° 14' 24.61""";0,15;00:00:19;0,00
29;04:56:29;"Долгота=39° 00' 24.72"" Широта=45° 14' 24.61""";04:56:32;"Долгота=39° 00' 24.91"" Широта=45° 14' 22.50""";0,07;00:00:03;0,00
30;05:00:11;"Долгота=39° 00' 24.91"" Широта=45° 14' 22.50""";05:00:23;"Долгота=39° 00' 25.14"" Широта=45° 14' 19.14""";0,10;00:00:12;0,00
31;05:02:31;"Долгота=39° 00' 25.14"" Широта=45° 14' 19.14""";05:03:30;"Долгота=39° 00' 25.97"" Широта=45° 14' 12.11""";0,22;00:00:59;0,00
32;05:07:48;"Долгота=39° 00' 25.97"" Широта=45° 14' 12.11""";05:07:54;"Долгота=39° 00' 26.52"" Широта=45° 14' 09.87""";0,07;00:00:06;0,00
33;05:09:10;"Долгота=39° 00' 26.52"" Широта=45° 14' 09.87""";05:11:07;"Долгота=39° 00' 33.27"" Широта=45° 14' 04.20""";0,26;00:01:57;7,97
34;05:12:42;"Долгота=39° 00' 33.27"" Широта=45° 14' 04.20""";05:13:36;"Долгота=39° 00' 26.16"" Широта=45° 14' 07.66""";0,20;00:00:54;0,00
35;05:28:49;"Долгота=39° 00' 26.16"" Широта=45° 14' 07.66""";05:29:19;Точка №1 ул. Набережная.;0,08;00:00:30;0,00
36;05:37:57;Точка №1 ул. Набережная.;05:42:14;"Долгота=39° 00' 20.17"" Широта=45° 14' 42.00""";1,24;00:04:17;17,31
37;05:49:46;"Долгота=39° 00' 20.17"" Широта=45° 14' 42.00""";05:52:23;"Долгота=39° 00' 16.60"" Широта=45° 14' 53.53""";0,37;00:02:37;8,37
38;05:55:17;"Долгота=39° 00' 16.60"" Широта=45° 14' 53.53""";05:55:54;Точка №2 ул.Привокзальная.;0,12;00:00:37;0,00
39;06:07:52;Точка №2 ул.Привокзальная.;06:08:46;"Долгота=39° 00' 12.63"" Широта=45° 15' 05.07""";0,24;00:00:54;0,00
40;06:14:36;"Долгота=39° 00' 12.63"" Широта=45° 15' 05.07""";06:14:52;"Долгота=39° 00' 11.60"" Широта=45° 15' 07.94""";0,09;00:00:16;0,00
41;06:18:30;"Долгота=39° 00' 11.60"" Широта=45° 15' 07.94""";06:27:46;"Долгота=38° 58' 44.54"" Широта=45° 14' 14.21""";3,81;00:09:16;24,69
42;06:35:47;"Долгота=38° 58' 44.54"" Широта=45° 14' 14.21""";06:40:41;"Долгота=38° 59' 14.01"" Широта=45° 13' 31.07""";1,51;00:04:54;18,45
43;06:41:59;"Долгота=38° 59' 14.01"" Широта=45° 13' 31.07""";06:43:21;"Долгота=38° 59' 21.82"" Широта=45° 13' 31.97""";0,17;00:01:22;7,55
44;06:46:28;"Долгота=38° 59' 21.82"" Широта=45° 13' 31.97""";06:46:48;"Долгота=38° 59' 26.97"" Широта=45° 13' 32.51""";0,11;00:00:20;0,00
45;06:49:47;"Долгота=38° 59' 26.97"" Широта=45° 13' 32.51""";06:51:47;"Долгота=38° 59' 32.52"" Широта=45° 13' 33.33""";0,12;00:02:00;3,72
46;06:53:21;"Долгота=38° 59' 32.52"" Широта=45° 13' 33.33""";06:53:25;"Долгота=38° 59' 35.10"" Широта=45° 13' 33.85""";0,06;00:00:04;0,00
47;06:56:13;"Долгота=38° 59' 35.10"" Широта=45° 13' 33.85""";06:58:19;"Долгота=38° 59' 45.35"" Широта=45° 13' 35.23""";0,23;00:02:06;6,49
48;07:01:56;"Долгота=38° 59' 45.35"" Широта=45° 13' 35.23""";07:43:46;"Долгота=39° 11' 31.14"" Широта=45° 15' 02.18""";34,37;00:41:50;49,29
49;07:46:09;"Долгота=39° 11' 31.14"" Широта=45° 15' 02.18""";07:48:07;"Долгота=39° 11' 03.85"" Широта=45° 14' 59.78""";0,60;00:01:58;18,34
50;07:50:24;"Долгота=39° 11' 03.85"" Широта=45° 14' 59.78""";07:51:08;"Долгота=39° 10' 55.28"" Широта=45° 14' 57.03""";0,21;00:00:44;0,00
51;07:56:44;"Долгота=39° 10' 55.28"" Широта=45° 14' 57.03""";07:57:44;Точка №3 тупичёк за озером.;0,18;00:01:00;10,86
52;08:16:48;Точка №3 тупичёк за озером.;08:44:10;Хоз двор. Место где находится гараж.;21,33;00:27:22;46,77
53;09:13:54;Хоз двор. Место где находится гараж.;09:18:20;"Долгота=38° 59' 07.51"" Широта=45° 14' 20.08""";0,90;00:04:26;12,23
54;09:25:12;"Долгота=38° 59' 07.51"" Широта=45° 14' 20.08""";09:25:58;"Долгота=38° 59' 05.03"" Широта=45° 14' 25.68""";0,18;00:00:46;0,00
55;09:37:42;"Долгота=38° 59' 05.03"" Широта=45° 14' 25.68""";09:39:03;"Долгота=38° 59' 01.79"" Широта=45° 14' 33.70""";0,26;00:01:21;11,47
56;09:43:37;"Долгота=38° 59' 01.79"" Широта=45° 14' 33.70""";09:44:03;"Долгота=38° 58' 59.88"" Широта=45° 14' 37.66""";0,13;00:00:26;0,00
57;10:13:53;"Долгота=38° 58' 59.88"" Широта=45° 14' 37.66""";10:14:48;"Долгота=38° 58' 58.83"" Широта=45° 14' 42.06""";0,14;00:00:55;0,00
58;10:18:10;"Долгота=38° 58' 58.83"" Широта=45° 14' 42.06""";10:18:14;"Долгота=38° 58' 58.38"" Широта=45° 14' 44.26""";0,07;00:00:04;0,00
59;10:19:37;"Долгота=38° 58' 58.38"" Широта=45° 14' 44.26""";10:19:40;"Долгота=38° 58' 58.16"" Широта=45° 14' 45.02""";0,02;00:00:03;0,00
60;10:24:44;"Долгота=38° 58' 58.16"" Широта=45° 14' 45.02""";10:24:58;"Долгота=38° 58' 57.42"" Широта=45° 14' 48.20""";0,10;00:00:14;0,00
61;10:30:03;"Долгота=38° 58' 57.42"" Широта=45° 14' 48.20""";10:30:50;"Долгота=38° 58' 56.06"" Широта=45° 14' 53.24""";0,16;00:00:47;0,00
62;10:32:54;"Долгота=38° 58' 56.06"" Широта=45° 14' 53.24""";10:33:01;"Долгота=38° 58' 55.59"" Широта=45° 14' 55.14""";0,06;00:00:07;0,00
63;10:35:42;"Долгота=38° 58' 55.59"" Широта=45° 14' 55.14""";10:39:14;"Долгота=39° 00' 11.78"" Широта=45° 15' 07.51""";1,81;00:03:32;30,67
64;10:40:40;"Долгота=39° 00' 11.78"" Широта=45° 15' 07.51""";10:40:53;"Долгота=39° 00' 12.81"" Широта=45° 15' 04.66""";0,09;00:00:13;0,00
65;10:42:48;"Долгота=39° 00' 12.81"" Широта=45° 15' 04.66""";10:43:40;"Долгота=39° 00' 13.83"" Широта=45° 15' 01.21""";0,11;00:00:52;0,00
66;10:45:24;"Долгота=39° 00' 13.83"" Широта=45° 15' 01.21""";10:46:42;"Долгота=39° 00' 15.92"" Широта=45° 14' 54.95""";0,20;00:01:18;9,18
67;10:48:35;"Долгота=39° 00' 15.92"" Широта=45° 14' 54.95""";10:50:01;"Долгота=39° 00' 17.85"" Широта=45° 14' 49.18""";0,18;00:01:26;7,66
68;10:53:03;"Долгота=39° 00' 17.85"" Широта=45° 14' 49.18""";10:55:05;"Долгота=39° 00' 21.57"" Широта=45° 14' 39.88""";0,30;00:02:02;8,79
69;10:56:06;"Долгота=39° 00' 21.57"" Широта=45° 14' 39.88""";10:56:18;"Долгота=39° 00' 22.11"" Широта=45° 14' 37.62""";0,07;00:00:12;0,00
70;10:58:06;"Долгота=39° 00' 22.11"" Широта=45° 14' 37.62""";11:05:38;"Долгота=38° 57' 09.71"" Широта=45° 13' 58.98""";4,40;00:07:32;35,06
71;11:10:42;"Долгота=38° 57' 09.71"" Широта=45° 13' 58.98""";11:12:42;"Долгота=38° 57' 15.70"" Широта=45° 13' 57.75""";0,14;00:02:00;4,08
72;11:19:31;"Долгота=38° 57' 15.70"" Широта=45° 13' 57.75""";11:47:04;"Долгота=39° 11' 06.97"" Широта=45° 13' 58.12""";19,51;00:27:33;42,48
73;11:52:27;"Долгота=39° 11' 06.97"" Широта=45° 13' 58.12""";11:57:44;"Долгота=39° 11' 31.34"" Широта=45° 15' 02.46""";2,87;00:05:17;32,62
74;11:59:11;"Долгота=39° 11' 31.34"" Широта=45° 15' 02.46""";12:01:24;"Долгота=39° 11' 03.86"" Широта=45° 14' 59.88""";0,60;00:02:13;16,35
75;12:12:19;"Долгота=39° 11' 03.86"" Широта=45° 14' 59.88""";12:13:47;"Долгота=39° 10' 53.48"" Широта=45° 14' 56.90""";0,25;00:01:28;10,19
76;12:18:54;"Долгота=39° 10' 53.48"" Широта=45° 14' 56.90""";12:41:42;"Долгота=39° 00' 44.27"" Широта=45° 14' 16.77""";17,79;00:22:48;46,81
77;12:50:31;"Долгота=39° 00' 44.27"" Широта=45° 14' 16.77""";12:57:20;"Долгота=39° 00' 30.50"" Широта=45° 15' 13.46""";2,72;00:06:49;23,91
78;13:14:49;"Долгота=39° 00' 30.50"" Широта=45° 15' 13.46""";13:16:13;"Долгота=39° 00' 25.80"" Широта=45° 15' 05.95""";0,26;00:01:24;11,27
79;13:20:33;"Долгота=39° 00' 25.80"" Широта=45° 15' 05.95""";13:35:06;"Долгота=38° 59' 00.00"" Широта=45° 14' 37.51""";6,26;00:14:33;25,82
80;14:20:41;"Долгота=38° 59' 00.00"" Широта=45° 14' 37.51""";14:24:33;Хоз двор. Место где находится гараж.;1,52;00:03:52;23,52
81;14:36:07;Хоз двор. Место где находится гараж.;14:43:51;"Долгота=39° 00' 23.21"" Широта=45° 14' 33.51""";2,82;00:07:44;21,87
82;14:49:13;"Долгота=39° 00' 23.21"" Широта=45° 14' 33.51""";14:49:25;"Долгота=39° 00' 23.70"" Широта=45° 14' 29.29""";0,13;00:00:12;0,00
83;14:51:51;"Долгота=39° 00' 23.70"" Широта=45° 14' 29.29""";14:52:10;"Долгота=39° 00' 24.72"" Широта=45° 14' 24.61""";0,15;00:00:19;0,00
84;14:53:19;"Долгота=39° 00' 24.72"" Широта=45° 14' 24.61""";14:53:22;"Долгота=39° 00' 24.91"" Широта=45° 14' 22.50""";0,07;00:00:03;0,00
85;14:57:01;"Долгота=39° 00' 24.91"" Широта=45° 14' 22.50""";14:57:13;"Долгота=39° 00' 25.14"" Широта=45° 14' 19.14""";0,10;00:00:12;0,00
86;14:59:21;"Долгота=39° 00' 25.14"" Широта=45° 14' 19.14""";15:00:20;"Долгота=39° 00' 25.97"" Широта=45° 14' 12.11""";0,22;00:00:59;0,00
87;15:04:38;"Долгота=39° 00' 25.97"" Широта=45° 14' 12.11""";15:04:44;"Долгота=39° 00' 26.52"" Широта=45° 14' 09.87""";0,07;00:00:06;0,00
88;15:06:00;"Долгота=39° 00' 26.52"" Широта=45° 14' 09.87""";15:07:57;"Долгота=39° 00' 33.27"" Широта=45° 14' 04.20""";0,26;00:01:57;7,97
89;15:09:32;"Долгота=39° 00' 33.27"" Широта=45° 14' 04.20""";15:10:26;"Долгота=39° 00' 26.16"" Широта=45° 14' 07.66""";0,20;00:00:54;0,00
90;15:25:39;"Долгота=39° 00' 26.16"" Широта=45° 14' 07.66""";15:26:09;Точка №1 ул. Набережная.;0,08;00:00:30;0,00
91;15:34:47;Точка №1 ул. Набережная.;15:39:04;"Долгота=39° 00' 20.17"" Широта=45° 14' 42.00""";1,24;00:04:17;17,31
92;15:46:36;"Долгота=39° 00' 20.17"" Широта=45° 14' 42.00""";15:49:13;"Долгота=39° 00' 16.60"" Широта=45° 14' 53.53""";0,37;00:02:37;8,37
93;15:52:07;"Долгота=39° 00' 16.60"" Широта=45° 14' 53.53""";15:52:44;Точка №2 ул.Привокзальная.;0,12;00:00:37;0,00
94;16:04:42;Точка №2 ул.Привокзальная.;16:05:36;"Долгота=39° 00' 12.63"" Широта=45° 15' 05.07""";0,24;00:00:54;0,00
95;16:11:26;"Долгота=39° 00' 12.63"" Широта=45° 15' 05.07""";16:11:42;"Долгота=39° 00' 11.60"" Широта=45° 15' 07.94""";0,09;00:00:16;0,00
96;16:15:20;"Долгота=39° 00' 11.60"" Широта=45° 15' 07.94""";16:24:24;"Долгота=38° 58' 44.54"" Широта=45° 14' 14.21""";3,81;00:09:04;25,24
97;16:32:37;"Долгота=38° 58' 44.54"" Широта=45° 14' 14.21""";16:37:31;"Долгота=38° 59' 14.01"" Широта=45° 13' 31.07""";1,51;00:04:54;18,50
98;16:38:49;"Долгота=38° 59' 14.01"" Широта=45° 13' 31.07""";16:40:07;"Долгота=38° 59' 21.82"" Широта=45° 13' 31.97""";0,17;00:01:18;7,94
99;16:43:18;"Долгота=38° 59' 21.82"" Широта=45° 13' 31.97""";16:43:38;"Долгота=38° 59' 26.97"" Широта=45° 13' 32.51""";0,11;00:00:20;0,00
100;16:46:37;"Долгота=38° 59' 26.97"" Широта=45° 13' 32.51""";16:48:37;"Долгота=38° 59' 32.52"" Широта=45° 13' 33.33""";0,12;00:02:00;3,72
101;16:50:11;"Долгота=38° 59' 32.52"" Широта=45° 13' 33.33""";16:50:15;"Долгота=38° 59' 35.10"" Широта=45° 13' 33.85""";0,06;00:00:04;0,00
102;16:53:03;"Долгота=38° 59' 35.10"" Широта=45° 13' 33.85""";16:55:09;"Долгота=38° 59' 45.35"" Широта=45° 13' 35.23""";0,23;00:02:06;6,49
103;16:58:46;"Долгота=38° 59' 45.35"" Широта=45° 13' 35.23""";17:40:36;"Долгота=39° 11' 31.14"" Широта=45° 15' 02.18""";34,37;00:41:50;49,29
104;17:42:59;"Долгота=39° 11' 31.14"" Широта=45° 15' 02.18""";17:44:57;"Долгота=39° 11' 03.85"" Широта=45° 14' 59.78""";0,60;00:01:58;18,34
105;17:47:14;"Долгота=39° 11' 03.85"" Широта=45° 14' 59.78""";17:47:58;"Долгота=39° 10' 55.28"" Широта=45° 14' 57.03""";0,21;00:00:44;0,00
106;17:53:34;"Долгота=39° 10' 55.28"" Широта=45° 14' 57.03""";17:54:34;Точка №3 тупичёк за озером.;0,18;00:01:00;10,86
107;18:13:38;Точка №3 тупичёк за озером.;18:41:00;Хоз двор. Место где находится гараж.;21,33;00:27:22;46,77
108;19:10:44;Хоз двор. Место где находится гараж.;19:15:10;"Долгота=38° 59' 07.51"" Широта=45° 14' 20.08""";0,90;00:04:26;12,23
109;19:22:02;"Долгота=38° 59' 07.51"" Широта=45° 14' 20.08""";19:22:48;"Долгота=38° 59' 05.03"" Широта=45° 14' 25.68""";0,18;00:00:46;0,00
110;19:34:32;"Долгота=38° 59' 05.03"" Широта=45° 14' 25.68""";19:35:53;"Долгота=38° 59' 01.79"" Широта=45° 14' 33.70""";0,26;00:01:21;11,47
111;19:40:27;"Долгота=38° 59' 01.79"" Широта=45° 14' 33.70""";19:40:53;"Долгота=38° 58' 59.88"" Широта=45° 14' 37.66""";0,13;00:00:26;0,00
112;20:10:43;"Долгота=38° 58' 59.88"" Широта=45° 14' 37.66""";20:11:38;"Долгота=38° 58' 58.83"" Широта=45° 14' 42.06""";0,14;00:00:55;0,00
113;20:15:00;"Долгота=38° 58' 58.83"" Широта=45° 14' 42.06""";20:15:04;"Долгота=38° 58' 58.38"" Широта=45° 14' 44.26""";0,07;00:00:04;0,00
114;20:16:27;"Долгота=38° 58' 58.38"" Широта=45° 14' 44.26""";20:16:30;"Долгота=38° 58' 58.16"" Широта=45° 14' 45.02""";0,02;00:00:03;0,00
115;20:21:34;"Долгота=38° 58' 58.16"" Широта=45° 14' 45.02""";20:21:48;"Долгота=38° 58' 57.42"" Широта=45° 14' 48.20""";0,10;00:00:14;0,00
116;20:26:53;"Долгота=38° 58' 57.42"" Широта=45° 14' 48.20""";20:27:40;"Долгота=38° 58' 56.06"" Широта=45° 14' 53.24""";0,16;00:00:47;0,00
117;20:29:44;"Долгота=38° 58' 56.06"" Широта=45° 14' 53.24""";20:29:51;"Долгота=38° 58' 55.59"" Широта=45° 14' 55.14""";0,06;00:00:07;0,00
